Date,Astral,Blue Star,Britannia Inds.,Cera Sanitary.,CRISIL,eClerx Services,H.G. Infra Engg.,Ingersoll-Rand,ITC,KEI Industries,LTIMindtree,Nestle India,Persistent Sys,Ramkrishna Forg.,Tube Investments,UTI AMC,P I Industries,Akzo Nobel,Apollo Tyres,Kirloskar Oil,Safari Inds.,Godfrey Phillips,Wendt India,Narayana Hrudaya,Polycab India,AIA Engineering,Marksans Pharma,Nippon Life Ind.,Tata Elxsi,Elantas Beck,Praj Industries,Torrent Power,Dixon Technolog.,Finolex Cables,Titan Company,I O C L,Cummins India,Neuland Labs.,Vesuvius India,Time Technoplast,J B Chemicals &,NCC,Colgate-Palmoliv,Jyothy Labs,Mahanagar Gas,Dr Lal Pathlabs,TVS Motor Co.,Ganesha Ecosphe.,Shaily Engineer.,Thangamayil Jew.,Himadri Special,Natco Pharma,Uno Minda,Lumax Auto Tech.,S P Apparels,V-Guard Industri,Coromandel Inter,Gabriel India,EID Parry,Pidilite Inds.,Zydus Wellness,Kirl. Brothers,Radico Khaitan,Garware Tech.,CEAT,Aditya Vision,Nifty 500,Nifty 500.1,Active Days
2025-06-11,,,,,,,,,,,,,Persistent Sys,,,,,,,,,,,,,,,Nippon Life Ind.,,,,,Dixon Technolog.,,,,,,,,,,,,,Dr Lal Pathlabs,TVS Motor Co.,,Shaily Engineer.,Thangamayil Jew.,,,,Lumax Auto Tech.,,,Coromandel Inter,,EID Parry,Pidilite Inds.,,,Radico Khaitan,Garware Tech.,CEAT,Aditya Vision,,,15
2025-06-12,,,,,,,,,,,,,Persistent Sys,,,,,,,,,,,,,,,Nippon Life Ind.,,,,,Dixon Technolog.,,,,,,,,,,,,,Dr Lal Pathlabs,TVS Motor Co.,,Shaily Engineer.,Thangamayil Jew.,,,,Lumax Auto Tech.,,,Coromandel Inter,,EID Parry,Pidilite Inds.,,,Radico Khaitan,Garware Tech.,CEAT,Aditya Vision,,,15
2025-06-13,,,,,,,,,,,,,Persistent Sys,,,,,,,,,,,,,,,Nippon Life Ind.,,,,,Dixon Technolog.,,,,,,,,,,,,,Dr Lal Pathlabs,TVS Motor Co.,,Shaily Engineer.,Thangamayil Jew.,,,,Lumax Auto Tech.,,,Coromandel Inter,,EID Parry,Pidilite Inds.,,,Radico Khaitan,Garware Tech.,CEAT,Aditya Vision,,,15
2025-06-16,,,,,,,,,,,,,Persistent Sys,,,,,,,,,,,,,,,Nippon Life Ind.,,,,,Dixon Technolog.,,,,,,,,,,,,,Dr Lal Pathlabs,TVS Motor Co.,,Shaily Engineer.,Thangamayil Jew.,,,,Lumax Auto Tech.,,,Coromandel Inter,,EID Parry,Pidilite Inds.,,,Radico Khaitan,Garware Tech.,CEAT,Aditya Vision,,,15
2025-06-17,,,,,,,,,,,,,Persistent Sys,,,,,,,,,,,,,,,Nippon Life Ind.,,,,,Dixon Technolog.,,,,,,,,,,,,,Dr Lal Pathlabs,TVS Motor Co.,,Shaily Engineer.,Thangamayil Jew.,,,,Lumax Auto Tech.,,,Coromandel Inter,,EID Parry,Pidilite Inds.,,,Radico Khaitan,Garware Tech.,CEAT,Aditya Vision,,,15
2025-06-18,,,,,,,,,,,,,Persistent Sys,,,,,,,,,,,,,,,Nippon Life Ind.,,,,,Dixon Technolog.,,,,,,,Time Technoplast,,,,,,Dr Lal Pathlabs,TVS Motor Co.,,Shaily Engineer.,Thangamayil Jew.,,,,Lumax Auto Tech.,,,Coromandel Inter,,EID Parry,Pidilite Inds.,,,Radico Khaitan,Garware Tech.,CEAT,,,,15
2025-06-19,,,,,,,,,,,,,Persistent Sys,,,,,,,,,,,,,,,Nippon Life Ind.,,,,,Dixon Technolog.,,,,,,,Time Technoplast,,,,,,Dr Lal Pathlabs,TVS Motor Co.,,Shaily Engineer.,Thangamayil Jew.,,,,Lumax Auto Tech.,,,Coromandel Inter,,EID Parry,Pidilite Inds.,,,Radico Khaitan,Garware Tech.,CEAT,,,,15
2025-06-20,,,,,,,,,,,,,Persistent Sys,,,,,,,,,,,,,,,Nippon Life Ind.,,,,,Dixon Technolog.,,,,,,,Time Technoplast,,,,,,Dr Lal Pathlabs,TVS Motor Co.,,Shaily Engineer.,Thangamayil Jew.,,,,Lumax Auto Tech.,,,Coromandel Inter,,EID Parry,Pidilite Inds.,,,Radico Khaitan,Garware Tech.,CEAT,,,,15
2025-06-23,,,,,,,,,,,,,Persistent Sys,,,,,,,,,,,,,,,Nippon Life Ind.,,,,,Dixon Technolog.,,,,,,,Time Technoplast,,,,,,Dr Lal Pathlabs,TVS Motor Co.,,Shaily Engineer.,Thangamayil Jew.,,,,Lumax Auto Tech.,,,Coromandel Inter,,EID Parry,Pidilite Inds.,,,Radico Khaitan,Garware Tech.,CEAT,,,,15
2025-06-24,,,,,,,,,,,,,Persistent Sys,,,,,,,,,,,,,,,Nippon Life Ind.,,,,,Dixon Technolog.,,,,,,,Time Technoplast,,,,,,Dr Lal Pathlabs,TVS Motor Co.,,Shaily Engineer.,Thangamayil Jew.,,,,Lumax Auto Tech.,,,Coromandel Inter,,EID Parry,Pidilite Inds.,,,Radico Khaitan,Garware Tech.,CEAT,,,,15
